
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x07","0x08","0x0C","0x51","0x52","0x53","0x54","0x55","0x5A","0x61","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0xC3","0xC4","0xC5","0x100","0x101"
"lab2_logandnotify.cs","21","            User e1 = new User { FirstName = ''Able'', LastName = ''Baker'' };","20","1","0","0","0","1","1","0","0","0","1","3","0","0","0","0","2","0","0","1","1","0","3","1","2","0","2","1","0","0"
"lab2_logandnotify.cs","22","            Runtime.Notify(''e1'', e1);","18","1","0","1","0","0","0","0","0","0","1","2","0","0","0","0","1","0","1","1","1","0","3","0","0","1","3","1","0","1"
"lab2_logandnotify.cs","23","            User e2 = new User { FirstName = ''Charlie'', LastName = ''Delta'' };","20","1","0","0","0","0","1","1","0","0","1","2","1","0","0","0","2","0","0","1","1","0","3","1","2","0","2","1","0","0"
"lab2_logandnotify.cs","24","            User[] userEntities = { e1, e2 };","25","1","0","0","0","0","0","0","0","0","1","3","1","1","0","0","0","0","0","3","3","0","5","1","0","2","3","1","0","0"
"lab2_logandnotify.cs","25","            Runtime.Notify(''userEntities'', userEntities);","18","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","1","1","1","0","3","0","0","1","3","1","0","1"
"lab2_logandnotify.cs","26","        }","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0"
"","","Tally by Opcode >","--------","12","2","1","1","1","4","2","1","2","12","17","3","3","1","1","22","2","8","13","13","2","30","5","4","6","24","11","3","5"
"","","Total Tally >","211"

"Costs by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x07","0x08","0x0C","0x51","0x52","0x53","0x54","0x55","0x5A","0x61","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0xC3","0xC4","0xC5","0x100","0x101"
"","","","Opcode >","PUSH0","PUSHBYTES1","2","3","4","5","7","8","12","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH10","NOP","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","PICKITEM","SETITEM","NEWARRAY","Runtime.Log","Runtime.Notify"
"","","","v Stmt Cost / Opcode Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"lab1_log.cs","10","        {","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.001","0","0","0","0","0","0","0","0.001","0","0"
"lab1_log.cs","11","            Runtime.Log(''Hello world!'');","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0"
"lab1_log.cs","12","        }","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0","0","0","0","0","0"
"lab2_logandnotify.cs","8","        {","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.001","0","0","0","0","0","0","0","0.001","0","0"
"lab2_logandnotify.cs","10","            Runtime.Log(''log 1'');","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0"
"lab2_logandnotify.cs","11","            Runtime.Log(''log 2'');","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0"
"lab2_logandnotify.cs","12","            Runtime.Notify(''notify 3'');","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0.001","0.001","0","0.001"
"lab2_logandnotify.cs","15","            int ten = 10;","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.001","0.001","0","0","0","0","0","0"
"lab2_logandnotify.cs","16","            Runtime.Notify(''ten'', ten);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.003","0","0","0.001","0.003","0.001","0","0.001"
"lab2_logandnotify.cs","18","            object[] results = { ''a'', 1, 2, ''3'' };","0.013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.005","0.001","0","0","0.004","0.001","0","0"
"lab2_logandnotify.cs","19","            Runtime.Notify(''results'', results);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.003","0","0","0.001","0.003","0.001","0","0.001"
"lab2_logandnotify.cs","21","            User e1 = new User { FirstName = ''Able'', LastName = ''Baker'' };","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.003","0.001","0.002","0","0.002","0.001","0","0"
"lab2_logandnotify.cs","22","            Runtime.Notify(''e1'', e1);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.003","0","0","0.001","0.003","0.001","0","0.001"
"lab2_logandnotify.cs","23","            User e2 = new User { FirstName = ''Charlie'', LastName = ''Delta'' };","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.003","0.001","0.002","0","0.002","0.001","0","0"
"lab2_logandnotify.cs","24","            User[] userEntities = { e1, e2 };","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.003","0","0.005","0.001","0","0.002","0.003","0.001","0","0"
"lab2_logandnotify.cs","25","            Runtime.Notify(''userEntities'', userEntities);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.003","0","0","0.001","0.003","0.001","0","0.001"
"lab2_logandnotify.cs","26","        }","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0","0","0","0","0","0"
"","","Costs by Opcode >","--------","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0.013","0.013","0.002","0.030","0.005","0.004","0.006","0.024","0.011","0.003","0.005"
"","","Total Cost >","0.118"
