
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x07","0x08","0x0A","0x0C","0x0E","0x10","0x2C","0x35","0x51","0x52","0x53","0x54","0x55","0x58","0x59","0x5A","0x61","0x62","0x64","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x93","0x9C","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104"
"lab3_storage.cs","19","            Runtime.Notify(''item_value'', item_value);","144","8","0","0","0","0","0","0","0","8","0","0","0","0","0","8","16","0","0","0","0","0","0","8","0","0","8","8","8","0","0","24","0","0","0","0","0","0","8","24","8","0","8","0","0","0"
"lab3_storage.cs","20","            if (item_value == 0)","160","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","16","0","0","0","0","0","8","0","0","0","24","24","0","0","24","8","0","0","0","8","0","16","8","0","0","0","0","0","0"
"lab3_storage.cs","21","            {","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","22","                Runtime.Notify(''Storage key not set. Setting item_value to 1'');","30","3","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","6","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","3","3","0","3","0","0","0"
"lab3_storage.cs","23","                item_value = 1;","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","0","0","0","0","0","0","3","0","0","0","3","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","24","            }","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"lab3_storage.cs","26","            {","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","27","                Runtime.Notify(''Storage key already set. Incrementing item_value by 1'');","50","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","10","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","5","5","0","5","0","0","0"
"lab3_storage.cs","28","                item_value += 1;","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","15","0","0","0","0","0","0","5","0","0","0","10","10","0","0","10","5","0","0","5","0","0","5","0","0","0","0","0","0","0"
"lab3_storage.cs","29","            }","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"lab3_storage.cs","32","            Storage.Put(ctx, item_key, item_value);","168","8","0","0","0","0","0","0","0","0","0","0","0","0","0","8","16","0","0","0","0","0","0","13","3","0","8","24","24","8","0","24","0","0","0","0","0","0","24","0","0","0","0","0","0","8"
"lab3_storage.cs","33","            Runtime.Notify(''New item_value'', item_value);","144","8","0","0","0","0","0","0","0","0","0","8","0","0","0","8","16","0","0","0","0","0","0","16","0","0","8","8","8","0","0","24","0","0","0","0","0","0","8","16","8","0","8","0","0","0"
"lab3_storage.cs","34","        }","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","8","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","10","        {","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","0","3","2","0","0","2","2","0","0","0","0","0","0","2","1","0","0","0","0","0"
"lab4_processoperationpattern.cs","11","            object result = false; // = 0 (zero)","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","13","            if (args.Length == 0)","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","3","3","0","0","3","1","0","0","0","1","1","2","2","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","19","            {","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","20","                if (operation == ''query'')","20","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","1","0","0","0","3","3","0","0","3","1","0","1","0","0","0","2","1","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","21","                {","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","22","                    Runtime.Notify(''query'', args[0]);","20","2","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","2","0","0","1","1","1","0","0","3","0","0","0","0","0","0","2","2","1","0","1","0","0","0"
"lab4_processoperationpattern.cs","23","                    result = args[0];","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","2","2","0","0","2","1","0","0","0","0","0","2","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","24","                }","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","44","            }","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","45","            return result;","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","2","2","0","0","2","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","46","        }","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"","","Tally by Opcode >","--------","83","2","1","1","1","6","2","9","8","2","8","8","3","5","89","153","21","13","1","2","1","1","158","5","10","65","162","162","8","11","228","52","12","1","5","9","1","101","129","53","3","38","8","8","8"
"","","Total Tally >","1657"

"Costs by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x07","0x08","0x0A","0x0C","0x0E","0x10","0x2C","0x35","0x51","0x52","0x53","0x54","0x55","0x58","0x59","0x5A","0x61","0x62","0x64","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x93","0x9C","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104"
"","","","Opcode >","PUSH0","PUSHBYTES1","2","3","4","5","7","8","10","12","14","16","44","53","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH8","PUSH9","PUSH10","NOP","JMP","JMPIFNOT","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","EQUAL","ADD","NUMEQUAL","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","Runtime.Log","Runtime.Notify","Storage.GetContext","Storage.Get","Storage.Put"
"","","","v Stmt Cost / Opcode Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.1","1"
"lab1_log.cs","10","        {","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0"
"lab1_log.cs","11","            Runtime.Log(''Hello world!'');","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0"
"lab1_log.cs","12","        }","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab2_logandnotify.cs","8","        {","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0"
"lab2_logandnotify.cs","10","            Runtime.Log(''log 1'');","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0"
"lab2_logandnotify.cs","11","            Runtime.Log(''log 2'');","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0"
"lab2_logandnotify.cs","12","            Runtime.Notify(''notify 3'');","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0.001","0.001","0","0.001","0","0","0"
"lab2_logandnotify.cs","15","            int ten = 10;","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.001","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab2_logandnotify.cs","16","            Runtime.Notify(''ten'', ten);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.003","0","0","0","0","0","0","0.001","0.003","0.001","0","0.001","0","0","0"
"lab2_logandnotify.cs","18","            object[] results = { ''a'', 1, 2, ''3'' };","0.013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.005","0.001","0","0","0","0","0","0","0.004","0.001","0","0","0","0","0"
"lab2_logandnotify.cs","19","            Runtime.Notify(''results'', results);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.003","0","0","0","0","0","0","0.001","0.003","0.001","0","0.001","0","0","0"
"lab2_logandnotify.cs","21","            User e1 = new User { FirstName = ''Able'', LastName = ''Baker'' };","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.003","0.001","0.002","0","0","0","0","0","0.002","0.001","0","0","0","0","0"
"lab2_logandnotify.cs","22","            Runtime.Notify(''e1'', e1);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.003","0","0","0","0","0","0","0.001","0.003","0.001","0","0.001","0","0","0"
"lab2_logandnotify.cs","23","            User e2 = new User { FirstName = ''Charlie'', LastName = ''Delta'' };","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.003","0.001","0.002","0","0","0","0","0","0.002","0.001","0","0","0","0","0"
"lab2_logandnotify.cs","24","            User[] userEntities = { e1, e2 };","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.003","0","0","0.005","0.001","0","0","0","0","0","0.002","0.003","0.001","0","0","0","0","0"
"lab2_logandnotify.cs","25","            Runtime.Notify(''userEntities'', userEntities);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.003","0","0","0","0","0","0","0.001","0.003","0.001","0","0.001","0","0","0"
"lab2_logandnotify.cs","26","        }","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","10","        {","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0"
"lab3_storage.cs","12","            StorageContext ctx = Storage.CurrentContext;","0.040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.008","0","0","0.008","0.008","0","0","0","0","0","0","0","0","0","0","0.008","0","0"
"lab3_storage.cs","14","            string item_key = ''test-storage-key'';","0.040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.008","0","0","0.008","0.008","0","0","0","0","0","0","0.008","0","0","0","0","0","0"
"lab3_storage.cs","15","            Runtime.Notify(''item_key'', item_key);","0.088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.008","0","0","0.024","0","0","0","0","0","0","0.008","0.024","0.008","0","0.008","0","0","0"
"lab3_storage.cs","18","            BigInteger item_value = Storage.Get(ctx, item_key).AsBigInteger();","0.904","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.024","0.024","0","0","0.024","0.008","0.008","0","0","0","0","0.016","0","0","0","0","0","0.8","0"
"lab3_storage.cs","19","            Runtime.Notify(''item_value'', item_value);","0.088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.008","0","0","0.024","0","0","0","0","0","0","0.008","0.024","0.008","0","0.008","0","0","0"
"lab3_storage.cs","20","            if (item_value == 0)","0.112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.024","0.024","0","0","0.024","0.008","0","0","0","0.008","0","0.016","0.008","0","0","0","0","0","0"
"lab3_storage.cs","21","            {","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","22","                Runtime.Notify(''Storage key not set. Setting item_value to 1'');","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0","0","0","0","0","0","0","0.003","0.003","0","0.003","0","0","0"
"lab3_storage.cs","23","                item_value = 1;","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.003","0","0","0.003","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","24","            }","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0","0","0","0","0","0"
"lab3_storage.cs","26","            {","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab3_storage.cs","27","                Runtime.Notify(''Storage key already set. Incrementing item_value by 1'');","0.020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0","0","0.005","0.005","0","0.005","0","0","0"
"lab3_storage.cs","28","                item_value += 1;","0.045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.010","0.010","0","0","0.010","0.005","0","0","0.005","0","0","0.005","0","0","0","0","0","0","0"
"lab3_storage.cs","29","            }","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0"
"lab3_storage.cs","32","            Storage.Put(ctx, item_key, item_value);","8.107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0","0","0.024","0.024","0.008","0","0.024","0","0","0","0","0","0","0.024","0","0","0","0","0","0","8"
"lab3_storage.cs","33","            Runtime.Notify(''New item_value'', item_value);","0.080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.008","0","0","0.024","0","0","0","0","0","0","0.008","0.016","0.008","0","0.008","0","0","0"
"lab3_storage.cs","34","        }","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","10","        {","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.002","0","0","0.002","0.002","0","0","0","0","0","0","0.002","0.001","0","0","0","0","0"
"lab4_processoperationpattern.cs","11","            object result = false; // = 0 (zero)","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.001","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","13","            if (args.Length == 0)","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.003","0","0","0.003","0.001","0","0","0","0.001","0.001","0.002","0.002","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","19","            {","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","20","                if (operation == ''query'')","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.003","0","0","0.003","0.001","0","0.001","0","0","0","0.002","0.001","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","21","                {","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","22","                    Runtime.Notify(''query'', args[0]);","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0","0.003","0","0","0","0","0","0","0.002","0.002","0.001","0","0.001","0","0","0"
"lab4_processoperationpattern.cs","23","                    result = args[0];","0.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0","0","0.002","0.001","0","0","0","0","0","0.002","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","24","                }","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","44","            }","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","45","            return result;","0.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0","0","0.002","0.001","0","0","0","0","0","0.001","0.001","0","0","0","0","0","0"
"lab4_processoperationpattern.cs","46","        }","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0.001","0.002","0","0.001","0.001","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0"
"","","Costs by Opcode >","--------","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0.010","0","0.162","0.162","0.008","0.011","0.228","0.052","0.012","0.001","0.005","0.009","0.001","0.101","0.129","0.053","0.003","0.038","0.008","0.8","8"
"","","Total Cost >","9.798"
